ID,"Ticket ID",Description,Company,Property,"Opportunity Manager",State,"Created Date",Type,Invoice,Stage,"Sale Price","Service Type - Hustad"
1542622,1325894,"Full Inspection - $1,000 NTE","Access Commercial","Omnicorp Grand Forks, LLC - Aspen Dental/Chapter Aesthetic",,ND,"06/24/2025 05:20:36 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542624,1325895,"Full Inspection - $500 NTE","Access Commercial","Redec Properties, LLC - Makovicka Physical Therapy/Urgent Care",,NE,"06/24/2025 05:21:32 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542629,1325897,"Full Inspection - $1,500 NTE","Access Commercial","On Veterans, LLC - Sleep Number/Chicken Salad Chick",,IL,"06/24/2025 05:24:25 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1542653,1325898,"Full Inspection - $500 NTE","Access Commercial","SCM Longview Omaha  1303 LLC",,NE,"06/24/2025 05:36:26 PM",Inspection,,"New Service",,"BI-ANNUAL INSPECTION"
1543658,1325913,"Leak Repair Unit 1503","Cardinal Group Management","Atlas Athens","Nancy Ly",GA,"07/18/2025 06:40:48 PM",Scope,,"New Service",1500.00,"SCOPE APPROVED"
1544832,1325928,"Inspection- On hold for now","Lincoln Hotel Group","Staybridge Suites Lincoln Northeast",,NE,"06/26/2025 03:54:17 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1546109,1325947,"Patio Door and Deck Repair 308, 407 and 408","Prime Urban Properties","Kennedy Place Apartments","Chad Eckols",WI,"06/27/2025 07:20:58 PM",Scope,,"New Service",32500.00,"SCOPE PENDING"
1547841,1325981,"MSA Inspection","Cardinal Group Management","Latitude Lincoln",,NE,"07/01/2025 01:58:50 PM",Inspection,,"New Service",,"MSA INSPECTION"
1548416,1325995,"MSA Inspection","Asset Living",Adelaide,,FL,"07/01/2025 07:15:18 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1548698,1326008,"Safety Railing Install Requested","Campus Life and  Style","225 S 9th St/825 Elm St","Ashley Walter",MO,"07/21/2025 08:01:34 PM",Scope,,"New Service",2500.00,"SCOPE PENDING"
1548718,1326011,"Safety Railing Site Bid","Campus Life and  Style","120 S 10th St","Ashley Walter",MO,"07/21/2025 08:05:28 PM",Scope,,"New Service",2500.00,"SCOPE PENDING"
1548728,1326012,"Safety Rail Site Bid","Campus Life and  Style","1118 E Locust St","Ashley Walter",MO,"07/21/2025 08:04:08 PM",Scope,,"New Service",2500.00,"SCOPE PENDING"
1548731,1326013,"Safety Rail Site Bid","Campus Life and  Style","1102 E Locust St","Ashley Walter",MO,"07/21/2025 07:38:48 PM",Scope,,"New Service",2500.00,"SCOPE PENDING"
1548735,1326014,"Safety Rail","Campus Life and  Style","220 S 10th St","Ashley Walter",MO,"07/21/2025 09:31:15 PM",Scope,,"New Service",2500.00,"SCOPE PENDING"
1549194,1326021,"Adjusted pricing for all repairs on site","Campus Life and  Style","1102 E Locust St","Ashley Walter",MO,"07/21/2025 07:38:04 PM",Scope,,"New Service",1650.00,"SCOPE PENDING"
1549309,1326023,"MSA - Chimney Cap Issue on 102-104","Asset Living","Ridgeview (Formerly Manor Ridge)",,NC,"07/02/2025 06:26:00 PM",Inspection,,"New Service",0.00,"MSA W/LEAK INSPECTION"
1549436,1326027,"All Repairs w/o Replacement Buildings","Cardinal Group Management","Copper Beech at Radford","Nancy Ly",VA,"07/03/2025 06:51:01 PM",Scope,,"New Service",40160.00,"SCOPE APPROVED"
1549895,1326039,"** Leak area Hallway in front of unit 1417 ** Site Bid","Tailwind Group","Quarters Bloomington","Ashley Walter",IN,"07/03/2025 03:24:03 PM",Scope,,"New Service",2625.00,"SCOPE APPROVED"
1549977,1326040,"Patio/Deck Repair 302-118","Gallina Companies",Tuscany,"Chad Eckols",WI,"07/03/2025 04:21:22 PM",Scope,,"New Service",3000.00,"SCOPE APPROVED"
1565367,1326069,"Inspection of repairs that Cristi had requested","Campus Life and  Style",On50,,FL,"07/08/2025 03:18:29 PM",Inspection,,"New Service",0.00,"SCOPE PENDING"
1569865,1326106,"Gutter Replacement Building 102","Gallina Companies","Kearney Meadows","Chad Eckols",WI,"07/10/2025 02:12:11 PM",Scope,,"New Service",2200.00,"SCOPE APPROVED"
1613183,1326131,MSA,"Capstone On-Campus Management","Centennial Hall - Bowling Green State University",,OH,"07/11/2025 05:34:41 PM",Inspection,,"New Service",,"MSA INSPECTION"
1613597,1326132,MSA,"Capstone On-Campus Management","Falcon Heights",,Ohio,"07/11/2025 05:40:40 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1613649,1326133,MSA,"Capstone On-Campus Management","Falcon's Landing",,OH,"07/11/2025 05:43:29 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1614158,1326136,MSA,"Capstone On-Campus Management","Triangle Towers at CWRU",,OH,"07/11/2025 06:06:25 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1614221,1326138,MSA,"Capstone On-Campus Management","Misc Properties",,OH,"07/11/2025 06:15:21 PM",Inspection,,"New Service",0.00,"MSA INSPECTION"
1631032,1326187,"Emergency Repairs Only","Bone Investment Management, LLC","Lakeland Lofts","Nancy Ly",IL,"07/15/2025 07:35:19 PM",Scope,,"New Service",700.00,"SCOPE PENDING"
1631287,1326190,"MSA Inspection","Cardinal Group Management","NxNW Tallahassee Florida",,FL,"07/15/2025 08:03:50 PM",Inspection,,"New Service",,"MSA INSPECTION"
1631843,1326197,"Tree Damage Section 12","Cardinal Group Management","Villas at Shadow Oaks","Nancy Ly",TX,"07/16/2025 08:07:37 PM",Scope,,"New Service",1200.00,"SCOPE APPROVED"
1632358,1326199,"Building 1","Asset Living","Jefferson Place Apartments","Nicholas Del Villar",AL,"07/18/2025 07:33:34 PM",Scope,,"New Service",4150.00,"SCOPE APPROVED"
1632471,1326201,"MSA Inspection","Solidago Residential Services","Menchaca Commons",,TX,"07/16/2025 08:38:32 PM",Inspection,,"New Service",,"MSA INSPECTION"
1632475,1326202,"Warranty Leak","BH Management Services LLC","Grove at Main Apartments",,IL,"07/16/2025 08:39:41 PM",Warranty,,"New Service",,"WARRANTY REPAIR"
1633049,1326211,"Leak Inspection  + Replacement Evaluation","Kingsbarn Realty Capital","7030 Canal Blvd",,LA,"07/17/2025 03:53:04 PM",Leak,,"New Service",0.00,"LEAK INSPECTION"
1633362,1326218,"active leak inspection","Asset Living","Orchard Hills",,TX,"07/17/2025 06:43:24 PM",Inspection,,"New Service",,"LEAK INSPECTION"
1633528,1326220,"MSA Inspection","Solidago Residential Services",Twelve620,,TX,"07/17/2025 08:47:08 PM",Inspection,,"New Service",,"MSA INSPECTION"
1633936,1326231,"Leak Inspection","Core Campus Management","U Lake",,FL,"07/18/2025 03:30:40 PM",Leak,,"New Service",0.00,"LEAK INSPECTION"
1633946,1326232,"Leak Inspection","Stuho Student Housing","The Moon",,CA,"07/18/2025 03:40:22 PM",Inspection,,"New Service",0.00,"LEAK INSPECTION"
1635350,1326253,"Leak Inspection - $8k NTE - Units 1536 & 2031","Asset Living","Magnolia A Prosper Community/Grand At Rum Creek",,AL,"07/21/2025 07:42:43 PM",Inspection,,"New Service",,"SCOPE APPROVED"
1401061,1324750,"All Repairs from April 2025 Inspection Report","Asset Living","Villages of Huntsville","Yolanda Henton",TX,"07/07/2025 10:33:28 PM",Scope,,Accepted,41412.50,"SCOPE APPROVED"
1401144,1324755,"All Repairs from April 2025 Inspection Report","Asset Living","Villages of Huntsville Senior","Yolanda Henton",TX,"07/01/2025 06:58:23 PM",Scope,,Accepted,3869.00,"SCOPE APPROVED"
1548313,1325991,MSA,"Asset Living",Hollowbrook,,FL,"07/01/2025 06:03:00 PM",Inspection,,Accepted,0.00,"MSA INSPECTION"
1548336,1325992,MSA,"Asset Living","Golden Oaks",,FL,"07/01/2025 06:20:02 PM",Inspection,,Accepted,,"MSA INSPECTION"
1548372,1325993,MSA,"Asset Living","Boca Club",,FL,"07/01/2025 06:43:03 PM",Inspection,,Accepted,0.00,"MSA INSPECTION"
1564536,1326053,"Eval requested","Burlington Capital","12437 S 32nd St","Chad Eckols",NE,"07/07/2025 08:26:37 PM",Scope,,Accepted,400.00,"SCOPE APPROVED"
1569961,1326108,"MSA w leaks","Asset Living",Indiandale,,AR,"07/10/2025 03:01:24 PM",Inspection,,Accepted,0.00,"MSA W/LEAK INSPECTION"
1575028,1326113,"Partial Gutter Replacement Building 302 and 102","Gallina Companies",Tuscany,"Chad Eckols",WI,"07/10/2025 06:09:23 PM",Scope,,Accepted,1500.00,"SCOPE APPROVED"
1616935,1326140,"Due Diligence Inspection","Monument Square Investment Group","Maison Burbank",,LA,"07/11/2025 07:02:21 PM",Inspection,,Accepted,750.00,"DUE DILIGENCE"
1634918,1326240,"Full Inspection","J. Michael Real Estate","227 Langdon St",,WI,"07/21/2025 04:07:02 PM",Inspection,,Accepted,0.00,"MSA INSPECTION"
1635067,1326242,"Full Inspection","Village of Cottage Grove","1507 Landmark Dr. Cottage Grove, WI 53527",,WI,"07/21/2025 05:35:22 PM",Inspection,,Accepted,0.00,"MSA INSPECTION"
1509560,1325394,"Leak Repairs Unit 111","Asset Living","Gardner Village","Yolanda Henton",TN,"06/30/2025 05:04:00 PM",Scope,,Scheduled,500.00,"SCOPE APPROVED"
1519905,1325625,"All repairs from June 25 Inspection report","Capstone On-Campus Management","Bowie State University Housing","Ashley Walter",MD,"07/08/2025 06:25:44 PM",Scope,,Scheduled,9870.00,"SCOPE APPROVED"
1538151,1325791,"Leak repairs requested","Asset Living","Cove at St Lucie","Chad Uphoff",FL,"07/08/2025 01:32:08 PM",Scope,,Scheduled,500.00,"SCOPE APPROVED"
1547491,1325974,"Damage documented from onsite for bid","Asset Living","The Den at Cedar Ridge","Nicholas Del Villar",CT,"07/11/2025 06:37:08 PM",Scope,,Scheduled,4590.00,"SCOPE APPROVED"
1547616,1325977,"Gutter plus lift site bid","Campus Life and  Style","The Domain at Columbia","Dustin Intlekofer",MO,"07/07/2025 07:57:52 PM",Scope,,Scheduled,3150.00,"SCOPE APPROVED"
1548637,1326004,"Warranty gutter repair","Tailwind Group","The Quarters at Columbia","Ashley Walter",MO,"07/02/2025 10:26:57 AM",Scope,,Scheduled,0.00,"NON-BILLABLE REPAIR"
1550097,1326042,"Hail/MSA Inspection","Cardinal Group Management","Lincoln Springs Apartments",,CO,"07/03/2025 06:00:03 PM",Inspection,,Scheduled,0.00,"MSA INSPECTION"
1630647,1326180,"New curb install","Access Commercial","Summit Pointe","Chad Eckols",NE,"07/15/2025 01:50:53 PM",Scope,,Scheduled,1250.00,"SCOPE APPROVED"
1630685,1326182,"new units with leaks, 2111, 2113, and 2407","Cardinal Group Management","Park East",,TX,"07/15/2025 02:04:25 PM",Inspection,,Scheduled,0.00,"LEAK INSPECTION"
1630876,1326184,"Leak Inspection","Cardinal Group Management","Park East",,TX,"07/15/2025 04:28:11 PM",Inspection,,Scheduled,0.00,"LEAK INSPECTION"
1630908,1326185,"active leak inspection","Asset Living","Summit Hermitage",,TN,"07/15/2025 04:42:36 PM",Inspection,,Scheduled,0.00,"LEAK INSPECTION"
1632503,1326204,"Requested repair on section 1","Asset Living","Cove at St Lucie","Chad Uphoff",FL,"07/21/2025 10:45:02 AM",Scope,,Scheduled,750.00,"SCOPE APPROVED"
1633004,1326208,"Repairs beyond insurance scope of loss","Asset Living","Southern Downs","Chad Uphoff",GA,"07/18/2025 06:21:07 PM",Scope,,Scheduled,6340.00,"SCOPE APPROVED"
1633168,1326212,"Emergency Leaks","Asset Living","Villas at North Park","Chad Uphoff",TN,"07/21/2025 01:26:08 PM",Scope,,Scheduled,1500.00,"SCOPE APPROVED"
1634469,1326236,"New leaks reported 116-118-24-62-64","Asset Living","Palm Grove Gardens","Nicholas Del Villar",FL,"07/21/2025 08:39:57 PM",Scope,,Scheduled,1100.00,"SCOPE PENDING"
1635174,1326246,"Full Inspection/Hail Inspection","J. Michael Real Estate","301 S Charter St",,WI,"07/21/2025 06:29:02 PM",Inspection,,Scheduled,0.00,"STORM INSPECTION-HAIL"
1635218,1326249,"Measure Gutters for Replacement","Common Wealth Development","1114 Williamson St",,WI,"07/21/2025 06:50:05 PM",Inspection,,Scheduled,0.00,"MSA INSPECTION"
1635219,1326250,"Measure Gutters for Replacement","Common Wealth Development","1110 Williamson St",,WI,"07/21/2025 06:50:37 PM",Inspection,,Scheduled,0.00,"MSA INSPECTION"
1635221,1326251,"Measure Gutters for Replacement","Common Wealth Development","1108 Williamson St",,WI,"07/21/2025 06:51:04 PM",Inspection,,Scheduled,0.00,"MSA INSPECTION"
1538742,1325801,"Gutter Guard and Cleaning Bid for sections 3948 and 3950","Asset Living","Palm Grove Gardens","Nicholas Del Villar",FL,"07/09/2025 05:19:25 PM",Scope,,"In Progress",5000.00,"SCOPE APPROVED"
1541273,1325849,"Sheeting and possible framing site bid","The Scion Group","University Meadows","Chad Eckols",MI,"07/02/2025 12:57:59 PM",Scope,,"In Progress",70500.00,"SCOPE APPROVED"
1542613,1325890,"Full Inspection - $2,500 NTE","Access Commercial","Summit Pointe",,NE,"06/24/2025 05:13:56 PM",Inspection,,"In Progress",0.00,"BI-ANNUAL INSPECTION"
1549650,1326035,"All Emergency Repairs","Tailwind Group","The Beacon","Ashley Walter",AL,"07/07/2025 08:42:29 PM",Scope,,"In Progress",100510.00,"SCOPE APPROVED"
1564512,1326052,"Site bid request","Burlington Capital","12303-12307 S 31st St","Chad Eckols",NE,"07/07/2025 08:31:09 PM",Scope,,"In Progress",860.00,"SCOPE APPROVED"
1627024,1326155,"C303 leak reoccurring","Asset Living","Liberty Club",,GA,"07/14/2025 12:56:46 PM",Inspection,,"In Progress",0.00,"LEAK INSPECTION"
1631377,1326192,"Leak Inspection","Campus Advantage","Fairway View II",,LA,"07/15/2025 09:08:16 PM",Leak,,"In Progress",0.00,"LEAK INSPECTION"
1632974,1326207,"Leaks along back wall - Great Clips, UPS, Tropical Smoothie and Dunkin","DP Management","Tremont Square LLC-Dunkin'/UPS",,MO,"07/17/2025 03:12:43 PM",Inspection,,"In Progress",,"LEAK INSPECTION"
1633212,1326215,"Leak issues","Campus Life and  Style","225 S 9th St/825 Elm St","Ashley Walter",MO,"07/18/2025 02:39:15 PM",Scope,,"In Progress",3700.00,"SCOPE APPROVED"
1633619,1326229,"Phase I:   Unit 21 Building 2 is still leaking","Campus Advantage","Fairway View I",,LA,"07/17/2025 11:44:54 PM",Inspection,,"In Progress",0.00,"LEAK INSPECTION"
1634633,1326237,"Drop off materials for Carlos","Blair Freeman Group","Together Inc",,NE,"07/21/2025 01:58:27 PM",Non-Billable,,"In Progress",0.00,"NON-BILLABLE REPAIR"
1544976,1325931,"Full Inspection","Campus Life and  Style","University Orchard",,MD,"06/26/2025 05:32:57 PM",Inspection,,Completed,0.00,"MSA W/LEAK INSPECTION"
1547209,1325968,"MSA Inspection","Cardinal Group Management","Vida at Fitzsimons",,CO,"06/30/2025 05:54:06 PM",Inspection,,Completed,0.00,"MSA INSPECTION"
1548438,1325996,"Deck EPDM Replacement","Alexander Company","Artisan Village Apartments","Chad Eckols",WI,"07/01/2025 07:31:05 PM",Scope,,Completed,1000.00,"SCOPE APPROVED"
1631451,1326195,"MSA + leak","Campus Life and  Style","The Gathering",,MD,"07/16/2025 01:20:54 AM",Inspection,,Completed,0.00,"MSA W/LEAK INSPECTION"
1631836,1326196,"Leak/MSA Inspection","Cardinal Group Management",Statesider,,WI,"07/16/2025 02:47:01 PM",Inspection,,Completed,0.00,"MSA W/LEAK INSPECTION"
1632253,1326198,"Full roof inspection - Hail and Storm","Teronomy Real Estate Management","W345S10519 County Rd E",,WI,"07/16/2025 06:38:32 PM",Inspection,,Completed,0.00,"STORM INSPECTION-HAIL"
1633595,1326225,"Full Inspection - Siding/Roofs/Gutters - See Notes","360 Commercial Real Estate","Fauerbach Condominiums",,WI,"07/17/2025 10:09:19 PM",Inspection,,Completed,0.00,"BI-ANNUAL INSPECTION"
1635086,1326243,"Leak at Bakers over eggs","DP Management","ILD Lakeside LLC",,NE,"07/21/2025 05:46:23 PM",Inspection,,Completed,0.00,"LEAK INSPECTION"
1635191,1326248,"Full Inspection for Replacement - All Buildings","JoAnn Cantalupo","754 S Lake Shore Dr",,WI,"07/21/2025 06:37:34 PM",Inspection,,Completed,0.00,
1542619,1325893,"Full Inspection - $500 NTE","Access Commercial","Millard Public Schools Foundation, LLC - MPSF Building",,NE,"06/24/2025 05:19:16 PM",Inspection,,Authorized,0.00,"BI-ANNUAL INSPECTION"
1548270,1325990,MSA,"Asset Living","Richard Allen Gardens",,FL,"07/01/2025 05:45:52 PM",Inspection,,Authorized,0.00,"MSA INSPECTION"
1183120,1320516,Scope,"Cardinal Group Management",Statesider,"Nancy Ly",WI,"07/16/2025 02:54:37 PM",Scope,4850,Invoiced,4850.00,"SCOPE APPROVED"
1361304,1324264,"Leak repairs needed","Burlington Capital","12119-12121 S 30th Ave","Chad Eckols",NE,"07/14/2025 01:12:45 PM",Scope,2160,Invoiced,2160.00,"SCOPE APPROVED"
1401534,1324764,"Select Repairs from April 2025 Inspection Report","Mark Stricker","523 W Wall St","Chad Eckols",WI,"07/02/2025 01:04:00 PM",Scope,800,Invoiced,800.00,"SCOPE APPROVED"
1477293,1324986,"Leak Repairs for Units 503 & 504","Asset Living","Gulf Coast Townhomes","Chad Uphoff",MS,"07/02/2025 04:26:25 PM",Scope,2500,Invoiced,2500.00,"SCOPE APPROVED"
1508954,1325378,"Patio Door/Window Repair/Replacement","4 Lakes Properties","Timberlake Village","Chad Eckols",WI,"06/30/2025 03:47:20 PM",Scope,54330,Invoiced,54330.00,"SCOPE PENDING"
1509100,1325383,"Leak Repairs for Unit","Asset Living","Baytree Condos","Nicholas Del Villar",GA,"06/26/2025 04:09:31 PM",Scope,1850,Invoiced,1850.00,"SCOPE APPROVED"
1511192,1325405,"Window Replacement","4 Lakes Properties",Pondfield,"Chad Eckols",WI,"07/14/2025 08:37:12 PM",Scope,2500,Invoiced,2500.00,"SCOPE APPROVED"
1519846,1325620,"All repairs from June 25 inspection report","Solidago Residential Services","Cypress Gardens","Nancy Ly",TX,"06/24/2025 05:03:05 PM",Scope,1000,Invoiced,1000.00,"SCOPE APPROVED"
1536870,1325755,"Leak repairs  Section 1 -Unit 426 -Hallway near 426 -Unit 469","Asset Living","The Residences at La Cantera","Nicholas Del Villar",TX,"07/11/2025 08:31:25 PM",Scope,3875,Invoiced,3875.00,"SCOPE APPROVED"
1539554,1325826,"Tree damage to roof site bid","Burlington Capital","12005-12007 S 29th St","Chad Uphoff",NE,"06/24/2025 03:12:46 PM",Scope,1500,Invoiced,1500.00,"SCOPE APPROVED"
1541110,1325846,"Damaged Tile Repairs ClubHouse","Campus Life and  Style","The Scarlet","Ashley Walter",TX,"06/24/2025 08:53:16 PM",Scope,3800,Invoiced,3800.00,"SCOPE APPROVED"
1541133,1325848,"Leak Repairs for Units","Asset Living","Liberty Club","Yolanda Henton",GA,"07/07/2025 05:20:11 PM",Scope,4750,Invoiced,4750.00,"SCOPE APPROVED"
1541298,1325850,"Repairs requested onsite and found new on storm inspection","Cardinal Group Management","Park East","Nancy Ly",TX,"07/01/2025 10:09:56 PM",Scope,5550,Invoiced,5550.00,"SCOPE APPROVED"
1541703,1325855,"Gutter Cleaning","London Bay Condo Association","London Bay Condos","Chad Eckols",WI,"06/23/2025 04:26:15 PM",Scope,1900,Invoiced,1900.00,"SCOPE APPROVED"
1541710,1325856,"Leak areas called in approved","Asset Living","West Oaks Village","Yolanda Henton",TX,"06/24/2025 02:14:09 PM",Scope,4770,Invoiced,4770.00,"SCOPE APPROVED"
1541908,1325860,"Leak issues identified","Asset Living","Summit Hermitage","Chad Uphoff",TN,"06/24/2025 01:12:40 PM",Scope,1400,Invoiced,1400.00,"SCOPE APPROVED"
1541938,1325861,"Section 4 unit 3304 Leak","Solidago Residential Services","Villas at Colt Run","Nancy Ly",TX,"06/23/2025 07:32:06 PM",Scope,1275,Invoiced,1275.00,"SCOPE APPROVED"
1542043,1325863,"Leak Repairs Unit 292","Asset Living","Foxcroft Apartments","Nicholas Del Villar",OK,"06/24/2025 12:01:43 PM",Scope,850,Invoiced,850.00,"SCOPE APPROVED"
1542244,1325868,"Leak Unit 633 clogged gutters and exposed nails","Blake Capital Corp.","Lincoln Ridge","Chad Eckols",WI,"06/24/2025 01:30:04 PM",Scope,1500,Invoiced,1500.00,"SCOPE APPROVED"
1542250,1325869,"Clogged Gutter","Gallina Companies","Schroeder Square Apartments","Chad Eckols",WI,"06/24/2025 01:32:22 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1542529,1325873,"Leak repairs approved","Solidago Residential Services","Cypress Gardens","Nancy Ly",TX,"06/24/2025 04:27:55 PM",Scope,1550,Invoiced,1550.00,"SCOPE APPROVED"
1543494,1325909,"Chimney Cleaning","Westminster Condos","Westminster Condos","Chad Eckols",WI,"06/25/2025 02:02:25 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1543776,1325915,"Newest list of leaks reported","Patrician Management LLC","The Genesis Lafayette","Ashley Walter",LA,"06/25/2025 08:59:51 PM",Scope,2350,Invoiced,2350.00,"SCOPE APPROVED"
1544212,1325920,"New leaks reported","Campus Advantage","Fairway View I","Ashley Walter",LA,"06/26/2025 10:54:18 AM",Scope,375,Invoiced,375.00,"SCOPE APPROVED"
1544290,1325922,"Unit #207 site bid","Campus Advantage","The U (Park East)","Ashley Walter",MO,"06/26/2025 04:42:22 PM",Scope,4000,Invoiced,4000.00,"SCOPE APPROVED"
1544303,1325923,"units 1007 and 1005 leak site bid","Campus Advantage","Sky Eleven (Park East)","Ashley Walter",MO,"06/26/2025 04:43:15 PM",Scope,3150,Invoiced,3150.00,"SCOPE APPROVED"
1544414,1325925,"New leak areas identified","Campus Advantage","Fairway View II","Ashley Walter",LA,"06/26/2025 01:50:10 PM",Scope,250,Invoiced,250.00,"SCOPE APPROVED"
1545423,1325932,"New storm damage documented-Sections 1 and 5","Tailwind Group","Landing Fayetteville","Ashley Walter",AR,"06/26/2025 09:43:12 PM",Scope,7035,Invoiced,7035.00,"SCOPE APPROVED"
1545568,1325937,"New leak areas identified","Cardinal Group Management","Domain At Waco","Nancy Ly",TX,"06/27/2025 12:36:52 AM",Scope,5710,Invoiced,5710.00,"SCOPE APPROVED"
1545591,1325938,"Leak site bid","Asset Living","Residences at the Overlook","Nicholas Del Villar",AR,"06/27/2025 07:07:42 PM",Scope,5470,Invoiced,5470.00,"SCOPE APPROVED"
1546303,1325952,"Building 8 new damage","Tailwind Group","Landing Fayetteville","Ashley Walter",AR,"06/27/2025 08:12:55 PM",Scope,1600,Invoiced,1600.00,"SCOPE APPROVED"
1546552,1325960,"Shingle damage repair needed","Burlington Capital","2551-2553 Ellsworth Ave","Chad Eckols",NE,"06/30/2025 01:47:49 PM",Scope,1610,Invoiced,1610.00,"SCOPE APPROVED"
1546567,1325962,"New repairs Sections 6,10,11,12, and 13","Tailwind Group","Landing Fayetteville","Ashley Walter",AR,"06/30/2025 08:10:44 PM",Scope,17000,Invoiced,17000.00,"SCOPE APPROVED"
1547059,1325966,"Leak areas identified","Nobis Rehabilitation Partners","Johnson County Rehabilitation Hospital","Jeff Knapp",KS,"06/30/2025 05:43:33 PM",Scope,900,Invoiced,900.00,"SCOPE APPROVED"
1547310,1325969,"Leak repairs","Asset Living","Westbridge Apartments","Nicholas Del Villar",AR,"06/30/2025 08:20:27 PM",Scope,500,Invoiced,500.00,"SCOPE APPROVED"
1547644,1325979,"Front office leaks","Asset Living","The Paddock on Park Row Apartment Homes","Nicholas Del Villar",TX,"07/01/2025 03:24:08 PM",Scope,725,Invoiced,725.00,"SCOPE APPROVED"
